GRENADE / EXPLOSIVE WARHEAD ATTACK TABLE
  	   20	16	11	6	2
01-02	F	F	F	F	F
03-30	0	0	0	0	0
31-33	0	0	0	0	1
34-36	0	0	0	0	1
37-39	0	0	0	0	1
40-42	0	0	0	0	1
43-45	0	0	0	0	1
46-48	0	0	0	0	2
49-51	0	0	0	1	2
52-54	0	0	0	1	2
55-57	0	0	0	1	3
58-60	0	0	0	2	3A
61-63	0	0	0	2	3A
64-66	0	0	0	2	4A
67-69	0	0	0	3	4A
70-72	0	0	1	3	4A
73-75	0	1	1	4	5A
76-78	0	1	1	4	5A
79-81	0	1	1	5	5A
82-84	0	1	1	5A	6A
85-87	0	1	1	6A	6A
88-90	0	1	2	6A	6B
--MAX FOR 5th BLAST RADIUS--
91-93	1	2	2	6A	7B
94-96	1	2	2	7A	7B
97-99	1	2	2A	7B	7B
100-102	1	2	3A	7B	8B
103-105	1	3	3A	8B	8C
--MAX FOR 4th BLAST RADIUS--
106-108	1	3	3A	8B	9C
109-111	2	3	3A	9B	9C
112-114	2	3A	4B	9C	10C
115-117	2	3A	4B	10C	10C
118-120	2	3A	4B	10C	11D
--MAX FOR 3rd BLAST RADIUS--
121-123	2	3A	4B	11C	11D
124-126	3	3A	5B	11C	12D
127-129	3A	4A	5C	12D	12D
130-132	4A	4B	6C	12D	13D
133-135	5A	5B	7C	13D	13E
--MAX FOR 2nd BLAST RADIUS--
136-138	6B	6C	8C	13D	14E
139-141	7B	7C	9D	14D	14E
142-144	8C	8D	10E	14E	15E
145-147	9D	9D	11E	15E	15E
148-150	10E	10E	12E	16E	16E
--- MAX FOR Ground Zero ---
# For attacks against RM ATs
# 151-153	10E	11E	12E	16E	16E
# 154-156	11E	12E	13E	16E	16E
# 157-159	12E	13E	14E	16E	16E
# 160-162	13E	14E	15E	17E	16E
# 163-165	14E	15E	16E	18E	16E
